,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.p,loudness_direction_basis.f,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,tempo_direction_basis.allegro,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
10,10,74.0,1.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,1.5,0.003989361692219973,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.003989361692219973,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,74.0,66.0,8.0
11,11,75.0,0.0,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.005319148767739534,0.5905511811023622,0.348750697501395,0.20595513631972145,0.005319148767739534,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0
12,12,67.0,0.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,2.5,0.0066489363089203835,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.0066489363089203835,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,76.0,67.0,9.0
13,13,71.0,0.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,2.5,0.0066489363089203835,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.0066489363089203835,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,76.0,67.0,9.0
14,14,76.0,0.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,2.5,0.0066489363089203835,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.0066489363089203835,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,76.0,67.0,9.0
15,15,67.0,1.0,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.007978723384439945,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.007978723384439945,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,76.0,67.0,9.0
16,16,71.0,1.0,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.007978723384439945,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.007978723384439945,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,76.0,67.0,9.0
17,17,76.0,1.0,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.007978723384439945,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.007978723384439945,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,76.0,67.0,9.0
18,18,67.0,1.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,3.5,0.009308510459959507,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.009308510459959507,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,71.0,67.0,4.0
19,19,71.0,1.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,3.5,0.009308510459959507,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.009308510459959507,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,71.0,67.0,4.0
20,20,76.0,0.0,0.75,2,0.0,0.75,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.010638297535479069,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.010638297535479069,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,0.0
21,21,61.0,0.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,4.5,0.011968085542321205,0.48031496062992124,0.23070246140492282,0.11080984366693143,0.011968085542321205,0.5714285714285714,0.4285714285714286,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,69.0,61.0,8.0
22,22,69.0,0.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,4.5,0.011968085542321205,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.011968085542321205,0.5714285714285714,0.4285714285714286,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,69.0,61.0,8.0
23,23,78.0,0.75,0.125,2,0.0,0.125,0.0,0.0,0.0,0.0,2.0,0.0,4.75,0.012632979080080986,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.012632979080080986,0.8571428571428571,0.1428571428571429,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,0.0
24,24,76.0,0.875,0.125,2,0.0,0.125,0.0,0.0,0.0,0.0,2.0,0.0,4.875,0.012965425848960876,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.012965425848960876,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,0.0
25,25,61.0,1.0,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.013297872617840767,0.48031496062992124,0.23070246140492282,0.11080984366693143,0.013297872617840767,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,74.0,61.0,13.0
26,26,69.0,1.0,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.013297872617840767,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.013297872617840767,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,74.0,61.0,13.0
27,27,74.0,1.0,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.013297872617840767,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.013297872617840767,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,74.0,61.0,13.0
28,28,61.0,1.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,5.5,0.014627659693360329,0.48031496062992124,0.23070246140492282,0.11080984366693143,0.014627659693360329,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,76.0,61.0,15.0
29,29,69.0,1.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,5.5,0.014627659693360329,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.014627659693360329,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,76.0,61.0,15.0
30,30,76.0,1.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,5.5,0.014627659693360329,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.014627659693360329,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,76.0,61.0,15.0
31,31,77.0,0.0,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.01595744676887989,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.01595744676887989,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0
32,32,62.0,0.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,6.5,0.017287233844399452,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.017287233844399452,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,78.0,62.0,16.0
33,33,69.0,0.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,6.5,0.017287233844399452,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.017287233844399452,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,78.0,62.0,16.0
34,34,78.0,0.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,6.5,0.017287233844399452,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.017287233844399452,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,78.0,62.0,16.0
35,35,62.0,1.0,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.018617020919919014,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.018617020919919014,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,78.0,62.0,16.0
36,36,69.0,1.0,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.018617020919919014,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.018617020919919014,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,78.0,62.0,16.0
37,37,78.0,1.0,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.018617020919919014,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.018617020919919014,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,78.0,62.0,16.0
38,38,62.0,1.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,7.5,0.019946807995438576,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.019946807995438576,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,69.0,62.0,7.0
39,39,69.0,1.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,7.5,0.019946807995438576,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.019946807995438576,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,69.0,62.0,7.0
40,40,66.0,0.0,0.5,2,0.0,0.375,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.021276595070958138,0.5196850393700787,0.2700725401450803,0.14035265865807323,0.021276595070958138,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,81.0,66.0,15.0
41,41,69.0,0.0,1.5,2,0.0,1.5,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.021276595070958138,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.021276595070958138,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,81.0,66.0,15.0
42,42,81.0,0.0,0.375,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.021276595070958138,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.021276595070958138,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,81.0,66.0,15.0
43,43,83.0,0.375,0.125,2,0.0,0.125,0.0,0.0,0.0,0.0,2.0,0.0,8.375,0.02227393537759781,0.6535433070866141,0.42711885423770846,0.27914066851755753,0.02227393537759781,0.375,0.625,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,0.0
44,44,64.0,0.5,0.5,2,0.0,0.375,0.0,0.0,0.0,0.0,2.0,0.0,8.5,0.0226063821464777,0.5039370078740157,0.25395250790501583,0.127976066975756,0.0226063821464777,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,79.0,64.0,15.0
45,45,79.0,0.5,0.375,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,8.5,0.0226063821464777,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.0226063821464777,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,79.0,64.0,15.0
46,46,81.0,0.875,0.125,2,0.0,0.125,0.0,0.0,0.0,0.0,2.0,0.0,8.875,0.02360372431576252,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.02360372431576252,0.875,0.125,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.0,0.0
47,47,62.0,1.0,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.02393617108464241,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.02393617108464241,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,78.0,62.0,16.0
48,48,78.0,1.0,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.02393617108464241,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.02393617108464241,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,78.0,62.0,16.0
49,49,74.0,1.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,9.5,0.025265958160161972,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.025265958160161972,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0
50,50,64.0,0.0,0.5,2,0.0,0.375,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.026595745235681534,0.5039370078740157,0.25395250790501583,0.127976066975756,0.026595745235681534,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,79.0,64.0,15.0
51,51,69.0,0.0,1.5,2,0.0,1.5,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.026595745235681534,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.026595745235681534,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,79.0,64.0,15.0
52,52,79.0,0.0,0.375,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.026595745235681534,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.026595745235681534,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,79.0,64.0,15.0
53,53,81.0,0.375,0.125,2,0.0,0.125,0.0,0.0,0.0,0.0,2.0,0.0,10.375,0.027593085542321205,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.027593085542321205,0.375,0.625,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.0,0.0
54,54,66.0,0.5,0.5,2,0.0,0.375,0.0,0.0,0.0,0.0,2.0,0.0,10.5,0.027925532311201096,0.5196850393700787,0.2700725401450803,0.14035265865807323,0.027925532311201096,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,78.0,66.0,12.0
55,55,78.0,0.5,0.375,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,10.5,0.027925532311201096,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.027925532311201096,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,78.0,66.0,12.0
56,56,79.0,0.875,0.125,2,0.0,0.125,0.0,0.0,0.0,0.0,2.0,0.0,10.875,0.028922872617840767,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.028922872617840767,0.875,0.125,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0
57,57,67.0,1.0,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.029255319386720657,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.029255319386720657,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,76.0,67.0,9.0
58,58,76.0,1.0,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.029255319386720657,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.029255319386720657,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,76.0,67.0,9.0
