,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.f,loudness_direction_basis.p,loudness_direction_basis.fp,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
10,10,76.0,2.5,0.25,4,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.005605380982160568,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.005605380982160568,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,0.0
11,11,78.0,2.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.75,0.0061659193597733974,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.0061659193597733974,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,0.0
12,12,64.0,3.0,1.0,4,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.006726457271724939,0.5039370078740157,0.25395250790501583,0.127976066975756,0.006726457271724939,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,81.0,64.0,17.0
13,13,67.0,3.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.006726457271724939,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.006726457271724939,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,81.0,64.0,17.0
14,14,79.0,3.0,0.5,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.006726457271724939,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.006726457271724939,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,81.0,64.0,17.0
15,15,81.0,3.0,0.0,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.006726457271724939,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.006726457271724939,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,81.0,64.0,17.0
16,16,78.0,3.5,0.25,4,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5,0.00784753356128931,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.00784753356128931,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,0.0
17,17,79.0,3.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.75,0.008408071473240852,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.008408071473240852,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0
18,18,66.0,0.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.008968610316514969,0.5196850393700787,0.2700725401450803,0.14035265865807323,0.008968610316514969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,81.0,66.0,15.0
19,19,69.0,0.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.008968610316514969,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.008968610316514969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,81.0,66.0,15.0
20,20,81.0,0.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.008968610316514969,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.008968610316514969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,81.0,66.0,15.0
21,21,81.0,2.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.013452914543449879,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.013452914543449879,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.0,0.0
22,22,83.0,2.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.5,0.014573991298675537,0.6535433070866141,0.42711885423770846,0.27914066851755753,0.014573991298675537,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,0.0
23,23,85.0,3.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.01569506712257862,0.6692913385826772,0.4479508959017918,0.2998096547374197,0.01569506712257862,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,85.0,0.0
24,24,86.0,3.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.5,0.016816142946481705,0.6771653543307087,0.45855291710583423,0.3105161485913523,0.016816142946481705,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,0.0
25,25,54.0,0.0,0.5,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.017937220633029938,0.4251968503937008,0.18079236158472317,0.0768723427210634,0.017937220633029938,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,81.0,54.0,27.0
26,26,81.0,0.0,1.0,4,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.017937220633029938,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.017937220633029938,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,81.0,54.0,27.0
27,27,62.0,0.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.5,0.01905829645693302,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.01905829645693302,0.25,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0
28,28,50.0,1.0,0.5,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.020179372280836105,0.3937007874015748,0.15500031000062,0.06102374409473228,0.020179372280836105,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,78.0,50.0,28.0
29,29,78.0,1.0,1.0,4,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.020179372280836105,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.020179372280836105,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,78.0,50.0,28.0
30,30,62.0,1.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.5,0.02130044810473919,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.02130044810473919,0.75,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0
31,31,52.0,2.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.022421523928642273,0.4094488188976378,0.1676483352966706,0.06864341287737694,0.022421523928642273,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,81.0,52.0,29.0
32,32,79.0,2.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.022421523928642273,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.022421523928642273,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,81.0,52.0,29.0
33,33,81.0,2.0,0.0,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,0.022421523928642273,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.022421523928642273,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,81.0,52.0,29.0
34,34,62.0,2.5,0.5,4,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.5,0.023542601615190506,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.023542601615190506,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,78.0,62.0,16.0
35,35,78.0,2.5,0.25,4,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.5,0.023542601615190506,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.023542601615190506,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,78.0,62.0,16.0
36,36,79.0,2.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.75,0.024103138595819473,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.024103138595819473,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0
37,37,57.0,3.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.02466367743909359,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.02466367743909359,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,81.0,57.0,24.0
38,38,81.0,3.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.02466367743909359,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.02466367743909359,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,81.0,57.0,24.0
39,39,61.0,3.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.5,0.025784753262996674,0.48031496062992124,0.23070246140492282,0.11080984366693143,0.025784753262996674,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,79.0,61.0,18.0
40,40,79.0,3.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.5,0.025784753262996674,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.025784753262996674,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,79.0,61.0,18.0
41,41,50.0,0.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.026905829086899757,0.3937007874015748,0.15500031000062,0.06102374409473228,0.026905829086899757,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,78.0,50.0,28.0
42,42,62.0,0.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.026905829086899757,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.026905829086899757,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,78.0,50.0,28.0
43,43,77.0,0.0,0.0,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,12.0,0.026905829086899757,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.026905829086899757,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,78.0,50.0,28.0
44,44,78.0,0.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.026905829086899757,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.026905829086899757,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,78.0,50.0,28.0
45,45,62.0,2.0,1.0,4,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.03139013424515724,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.03139013424515724,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,79.0,62.0,17.0
46,46,66.0,2.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.03139013424515724,0.5196850393700787,0.2700725401450803,0.14035265865807323,0.03139013424515724,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,79.0,62.0,17.0
47,47,78.0,2.0,0.5,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.03139013424515724,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.03139013424515724,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,79.0,62.0,17.0
48,48,79.0,2.0,0.0,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.03139013424515724,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.03139013424515724,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,79.0,62.0,17.0
49,49,76.0,2.5,0.25,4,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.5,0.032511211931705475,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.032511211931705475,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,0.0
50,50,78.0,2.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.75,0.03307174891233444,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.03307174891233444,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,0.0
51,51,64.0,3.0,1.0,4,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.03363228589296341,0.5039370078740157,0.25395250790501583,0.127976066975756,0.03363228589296341,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,81.0,64.0,17.0
52,52,67.0,3.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.03363228589296341,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.03363228589296341,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,81.0,64.0,17.0
53,53,79.0,3.0,0.5,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.03363228589296341,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.03363228589296341,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,81.0,64.0,17.0
54,54,81.0,3.0,0.0,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.03363228589296341,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.03363228589296341,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,81.0,64.0,17.0
55,55,78.0,3.5,0.25,4,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.5,0.03475336357951164,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.03475336357951164,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,0.0
56,56,79.0,3.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.75,0.03531390056014061,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.03531390056014061,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0
57,57,66.0,0.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.035874441266059875,0.5196850393700787,0.2700725401450803,0.14035265865807323,0.035874441266059875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,81.0,66.0,15.0
58,58,69.0,0.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.035874441266059875,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.035874441266059875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,81.0,66.0,15.0
59,59,81.0,0.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.035874441266059875,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.035874441266059875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,81.0,66.0,15.0
