,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.f,loudness_direction_basis.p,loudness_direction_basis.fp,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,tempo_direction_basis.allegro,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
13,13,74.0,2.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.75,0.0069095478393137455,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.0069095478393137455,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0
14,14,77.0,3.0,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.007537688594311476,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.007537688594311476,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0
15,15,76.0,3.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.25,0.008165828883647919,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.008165828883647919,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,0.0
16,16,79.0,3.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5,0.008793969638645649,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.008793969638645649,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0
17,17,77.0,3.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.75,0.00942211039364338,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.00942211039364338,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0
18,18,41.0,0.0,1.0,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.01005025114864111,0.3228346456692913,0.10422220844441689,0.03364653973402435,0.01005025114864111,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,81.0,41.0,40.0
19,19,53.0,0.0,1.0,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.01005025114864111,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.01005025114864111,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,81.0,41.0,40.0
20,20,69.0,0.0,1.0,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.01005025114864111,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.01005025114864111,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,2.0,81.0,41.0,40.0
21,21,74.0,0.0,1.0,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.01005025114864111,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.01005025114864111,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,3.0,81.0,41.0,40.0
22,22,77.0,0.0,1.0,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.01005025114864111,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.01005025114864111,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,4.0,81.0,41.0,40.0
23,23,81.0,0.0,1.0,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.01005025114864111,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.01005025114864111,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,81.0,41.0,40.0
24,24,79.0,1.0,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.01256281416863203,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.01256281416863203,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0
25,25,77.0,1.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.25,0.01319095492362976,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.01319095492362976,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0
26,26,76.0,1.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.5,0.013819095678627491,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.013819095678627491,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,0.0
27,27,74.0,1.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.75,0.014447236433625221,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.014447236433625221,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0
28,28,72.0,2.0,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.015075377188622952,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.015075377188622952,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0
29,29,71.0,2.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.25,0.015703517943620682,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.015703517943620682,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,0.0
30,30,52.0,2.5,0.5,4,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.5,0.016331657767295837,0.4094488188976378,0.1676483352966706,0.06864341287737694,0.016331657767295837,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,72.0,52.0,20.0
31,31,72.0,2.5,0.25,4,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.5,0.016331657767295837,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.016331657767295837,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,72.0,52.0,20.0
32,32,76.0,2.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.75,0.016959799453616142,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.016959799453616142,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,0.0
33,33,53.0,3.0,0.5,4,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.017587939277291298,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.017587939277291298,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,74.0,53.0,21.0
34,34,74.0,3.0,0.25,4,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.017587939277291298,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.017587939277291298,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,74.0,53.0,21.0
35,35,77.0,3.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.25,0.018216080963611603,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.018216080963611603,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0
36,36,55.0,3.5,0.5,4,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.5,0.01884422078728676,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.01884422078728676,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,71.0,55.0,16.0
37,37,71.0,3.5,0.25,4,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.5,0.01884422078728676,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.01884422078728676,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,71.0,55.0,16.0
38,38,74.0,3.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.75,0.019472362473607063,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.019472362473607063,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0
39,39,48.0,0.0,0.25,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.02010050229728222,0.3779527559055118,0.1428482856965714,0.05398990325539706,0.02010050229728222,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,72.0,48.0,24.0
40,40,64.0,0.0,1.0,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.02010050229728222,0.5039370078740157,0.25395250790501583,0.127976066975756,0.02010050229728222,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,72.0,48.0,24.0
41,41,67.0,0.0,1.0,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.02010050229728222,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.02010050229728222,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,72.0,48.0,24.0
42,42,72.0,0.0,1.0,4,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.02010050229728222,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.02010050229728222,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,72.0,48.0,24.0
43,43,60.0,0.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.25,0.020728643983602524,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.020728643983602524,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0
44,44,59.0,0.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.5,0.02135678380727768,0.4645669291338583,0.21582243164486328,0.10026396430745617,0.02135678380727768,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0
45,45,60.0,0.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.75,0.021984925493597984,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.021984925493597984,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0
46,46,48.0,1.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.02261306531727314,0.3779527559055118,0.1428482856965714,0.05398990325539706,0.02261306531727314,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0
47,47,72.0,1.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.5,0.0238693468272686,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.0238693468272686,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0
48,48,71.0,1.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.75,0.024497486650943756,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.024497486650943756,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,0.0
49,49,74.0,2.0,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.02512562833726406,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.02512562833726406,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0
50,50,72.0,2.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.25,0.025753768160939217,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.025753768160939217,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0
51,51,76.0,2.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.5,0.02638190984725952,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.02638190984725952,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,0.0
52,52,74.0,2.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.75,0.027010049670934677,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.027010049670934677,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0
53,53,77.0,3.0,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.027638191357254982,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.027638191357254982,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0
54,54,76.0,3.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.25,0.028266331180930138,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.028266331180930138,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,0.0
55,55,79.0,3.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.5,0.028894472867250443,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.028894472867250443,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0
56,56,77.0,3.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.75,0.029522612690925598,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.029522612690925598,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0
57,57,41.0,0.0,1.0,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.030150754377245903,0.3228346456692913,0.10422220844441689,0.03364653973402435,0.030150754377245903,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,81.0,41.0,40.0
58,58,53.0,0.0,1.0,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.030150754377245903,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.030150754377245903,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,81.0,41.0,40.0
