,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,tempo_direction_basis.adagio,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
10,10,55.0,2.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.009009009227156639,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.009009009227156639,0.8,0.19999999999999996,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,63.0,51.0,12.0
11,11,63.0,2.0,0.5,4,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.009009009227156639,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.009009009227156639,0.8,0.19999999999999996,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,63.0,51.0,12.0
12,12,58.0,2.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,2.5,0.011261261068284512,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.011261261068284512,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0
13,13,63.0,3.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,3.0,0.013513513840734959,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.013513513840734959,0.25,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,0.0
14,14,46.0,3.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,3.5,0.01576576568186283,0.36220472440944884,0.13119226238452478,0.04751845724163889,0.01576576568186283,0.5,1.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,65.0,46.0,19.0
15,15,62.0,3.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,3.5,0.01576576568186283,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.01576576568186283,0.5,1.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,65.0,46.0,19.0
16,16,65.0,3.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,3.5,0.01576576568186283,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.01576576568186283,0.5,1.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,65.0,46.0,19.0
17,17,51.0,0.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,4.0,0.018018018454313278,0.4015748031496063,0.16126232252464506,0.06475888542328266,0.018018018454313278,0.95,1.05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,67.0,51.0,16.0
18,18,63.0,0.0,2.0,4,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.018018018454313278,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.018018018454313278,0.95,1.05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,67.0,51.0,16.0
19,19,67.0,0.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,4.0,0.018018018454313278,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.018018018454313278,0.95,1.05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,67.0,51.0,16.0
20,20,48.0,0.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.020270269364118576,0.3779527559055118,0.1428482856965714,0.05398990325539706,0.020270269364118576,1.4,1.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,68.0,48.0,20.0
21,21,68.0,0.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.020270269364118576,0.5354330708661418,0.28668857337714676,0.1535025432255589,0.020270269364118576,1.4,1.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,68.0,48.0,20.0
22,22,43.0,1.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,5.0,0.022522522136569023,0.33858267716535434,0.11463822927645856,0.03881451857391904,0.022522522136569023,0.9333333333333333,1.0666666666666669,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,70.0,43.0,27.0
23,23,70.0,1.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,5.0,0.022522522136569023,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.022522522136569023,0.9333333333333333,1.0666666666666669,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,70.0,43.0,27.0
24,24,44.0,1.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,5.5,0.02477477490901947,0.3464566929133858,0.12003224006448013,0.0415859729357254,0.02477477490901947,1.4666666666666668,0.5333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,72.0,44.0,28.0
25,25,72.0,1.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,5.5,0.02477477490901947,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.02477477490901947,1.4666666666666668,0.5333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,72.0,44.0,28.0
26,26,46.0,2.0,1.5,4,0.0,0.75,0.0,0.0,0.0,0.0,6.0,0.027027027681469917,0.36220472440944884,0.13119226238452478,0.04751845724163889,0.027027027681469917,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,67.0,46.0,21.0
27,27,63.0,2.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.027027027681469917,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.027027027681469917,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,67.0,46.0,21.0
28,28,67.0,2.0,0.75,4,0.0,1.5,0.0,0.0,0.0,0.0,6.0,0.027027027681469917,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.027027027681469917,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,67.0,46.0,21.0
29,29,68.0,2.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,6.75,0.030405405908823013,0.5354330708661418,0.28668857337714676,0.1535025432255589,0.030405405908823013,0.75,0.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0
30,30,62.0,3.0,1.0,4,1.0,0.25,0.0,0.0,0.0,0.0,7.0,0.03153153136372566,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.03153153136372566,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,65.0,62.0,3.0
31,31,65.0,3.0,0.25,4,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.03153153136372566,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.03153153136372566,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,65.0,62.0,3.0
32,32,67.0,3.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,7.25,0.03265765681862831,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.03265765681862831,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
33,33,68.0,3.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,7.5,0.03378378227353096,0.5354330708661418,0.28668857337714676,0.1535025432255589,0.03378378227353096,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0
34,34,69.0,3.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,7.75,0.03490991145372391,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.03490991145372391,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,0.0
35,35,67.0,0.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.036036036908626556,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.036036036908626556,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,82.0,67.0,15.0
36,36,70.0,0.0,2.0,4,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.036036036908626556,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.036036036908626556,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,82.0,67.0,15.0
37,37,82.0,0.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.036036036908626556,0.6456692913385826,0.41688883377766756,0.2691723178721948,0.036036036908626556,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,82.0,67.0,15.0
38,38,63.0,1.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,9.0,0.04054053872823715,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.04054053872823715,1.1666666666666665,0.8333333333333334,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,79.0,63.0,16.0
39,39,79.0,1.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,9.0,0.04054053872823715,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.04054053872823715,1.1666666666666665,0.8333333333333334,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,79.0,63.0,16.0
40,40,58.0,1.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,9.5,0.04279279336333275,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.04279279336333275,1.75,0.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,77.0,58.0,19.0
41,41,77.0,1.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,9.5,0.04279279336333275,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.04279279336333275,1.75,0.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,77.0,58.0,19.0
42,42,55.0,2.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,10.0,0.045045044273138046,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.045045044273138046,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,75.0,55.0,20.0
43,43,70.0,2.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,10.0,0.045045044273138046,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.045045044273138046,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,75.0,55.0,20.0
44,44,75.0,2.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,10.0,0.045045044273138046,0.5905511811023622,0.348750697501395,0.20595513631972145,0.045045044273138046,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,75.0,55.0,20.0
45,45,58.0,2.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,10.5,0.04729729890823364,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.04729729890823364,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,77.0,58.0,19.0
46,46,74.0,2.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,10.5,0.04729729890823364,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.04729729890823364,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,77.0,58.0,19.0
47,47,77.0,2.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,10.5,0.04729729890823364,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.04729729890823364,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,77.0,58.0,19.0
48,48,63.0,3.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,11.0,0.04954954981803894,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.04954954981803894,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,79.0,63.0,16.0
49,49,75.0,3.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.04954954981803894,0.5905511811023622,0.348750697501395,0.20595513631972145,0.04954954981803894,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,79.0,63.0,16.0
50,50,79.0,3.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,11.0,0.04954954981803894,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.04954954981803894,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,79.0,63.0,16.0
51,51,60.0,3.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,11.5,0.05180180072784424,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.05180180072784424,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,80.0,60.0,20.0
52,52,80.0,3.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,11.5,0.05180180072784424,0.6299212598425197,0.3968007936015872,0.24995325581202343,0.05180180072784424,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,80.0,60.0,20.0
53,53,55.0,0.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,12.0,0.054054055362939835,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.054054055362939835,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,82.0,55.0,27.0
54,54,75.0,0.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,12.0,0.054054055362939835,0.5905511811023622,0.348750697501395,0.20595513631972145,0.054054055362939835,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,82.0,55.0,27.0
55,55,82.0,0.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,12.0,0.054054055362939835,0.6456692913385826,0.41688883377766756,0.2691723178721948,0.054054055362939835,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,82.0,55.0,27.0
56,56,56.0,0.5,0.5,4,0.0,0.125,0.0,0.0,0.0,0.0,12.5,0.05630630627274513,0.4409448818897638,0.19443238886477773,0.08573396674352404,0.05630630627274513,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,83.0,56.0,27.0
57,57,65.0,0.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,12.5,0.05630630627274513,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.05630630627274513,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,83.0,56.0,27.0
58,58,83.0,0.5,0.125,4,0.0,0.5,0.0,0.0,0.0,0.0,12.5,0.05630630627274513,0.6535433070866141,0.42711885423770846,0.27914066851755753,0.05630630627274513,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,83.0,56.0,27.0
59,59,84.0,0.625,0.125,4,0.0,0.125,0.0,0.0,0.0,0.0,12.625,0.05686936900019646,0.6614173228346457,0.4374728749457499,0.2893521377593936,0.05686936900019646,0.25,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,0.0
60,60,80.0,0.75,0.125,4,0.0,0.125,0.0,0.0,0.0,0.0,12.75,0.05743243172764778,0.6299212598425197,0.3968007936015872,0.24995325581202343,0.05743243172764778,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0
61,61,77.0,0.875,0.125,4,0.0,0.125,0.0,0.0,0.0,0.0,12.875,0.057995494455099106,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.057995494455099106,0.75,0.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0
