,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.f,loudness_direction_basis.p,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,tempo_direction_basis.allegro,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
11,11,72.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.004651162773370743,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.004651162773370743,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,72.0,45.0,27.0
12,12,41.0,0.0,1.0,3,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.006976744160056114,0.3228346456692913,0.10422220844441689,0.03364653973402435,0.006976744160056114,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,72.0,41.0,31.0
13,13,69.0,0.0,1.5,3,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.006976744160056114,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.006976744160056114,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,72.0,41.0,31.0
14,14,72.0,0.0,1.5,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.006976744160056114,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.006976744160056114,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,72.0,41.0,31.0
15,15,29.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.009302325546741486,0.2283464566929134,0.05214210428420857,0.011906464757811406,0.009302325546741486,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,0.0
16,16,74.0,1.5,0.25,3,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,4.5,0.010465116240084171,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.010465116240084171,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0
17,17,72.0,1.75,0.25,3,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,4.75,0.011046512052416801,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.011046512052416801,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0
18,18,70.0,2.0,0.25,3,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.011627906933426857,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.011627906933426857,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0
19,19,69.0,2.25,0.25,3,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,5.25,0.012209302745759487,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.012209302745759487,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,0.0
20,20,67.0,2.5,0.25,3,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,5.5,0.012790697626769543,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.012790697626769543,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
21,21,65.0,2.75,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,5.75,0.013372093439102173,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.013372093439102173,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0
22,22,53.0,0.0,0.5,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.013953488320112228,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.013953488320112228,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,77.0,53.0,24.0
23,23,57.0,0.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.013953488320112228,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.013953488320112228,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,77.0,53.0,24.0
24,24,77.0,0.0,1.0,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.013953488320112228,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.013953488320112228,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,77.0,53.0,24.0
25,25,53.0,0.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,6.5,0.015116279013454914,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.015116279013454914,0.16666666666666666,0.8333333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,57.0,53.0,4.0
26,26,57.0,0.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,6.5,0.015116279013454914,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.015116279013454914,0.16666666666666666,0.8333333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,57.0,53.0,4.0
27,27,53.0,1.0,0.5,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0162790697067976,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.0162790697067976,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,76.0,53.0,23.0
28,28,55.0,1.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0162790697067976,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.0162790697067976,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,76.0,53.0,23.0
29,29,58.0,1.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0162790697067976,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.0162790697067976,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,76.0,53.0,23.0
30,30,76.0,1.0,1.0,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0162790697067976,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.0162790697067976,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,76.0,53.0,23.0
31,31,53.0,1.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,7.5,0.01744186133146286,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.01744186133146286,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,58.0,53.0,5.0
32,32,55.0,1.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,7.5,0.01744186133146286,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.01744186133146286,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,58.0,53.0,5.0
33,33,58.0,1.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,7.5,0.01744186133146286,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.01744186133146286,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,58.0,53.0,5.0
34,34,53.0,2.0,0.5,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.01860465109348297,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.01860465109348297,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,75.0,53.0,22.0
35,35,57.0,2.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.01860465109348297,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.01860465109348297,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,75.0,53.0,22.0
36,36,60.0,2.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.01860465109348297,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.01860465109348297,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,75.0,53.0,22.0
37,37,75.0,2.0,1.0,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.01860465109348297,0.5905511811023622,0.348750697501395,0.20595513631972145,0.01860465109348297,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,75.0,53.0,22.0
38,38,53.0,2.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,8.5,0.01976744271814823,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.01976744271814823,0.8333333333333333,0.16666666666666674,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,60.0,53.0,7.0
39,39,57.0,2.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,8.5,0.01976744271814823,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.01976744271814823,0.8333333333333333,0.16666666666666674,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,60.0,53.0,7.0
40,40,60.0,2.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,8.5,0.01976744271814823,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.01976744271814823,0.8333333333333333,0.16666666666666674,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,60.0,53.0,7.0
41,41,53.0,0.0,0.5,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.020930232480168343,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.020930232480168343,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,74.0,53.0,21.0
42,42,58.0,0.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.020930232480168343,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.020930232480168343,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,74.0,53.0,21.0
43,43,62.0,0.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.020930232480168343,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.020930232480168343,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,74.0,53.0,21.0
44,44,74.0,0.0,1.0,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.020930232480168343,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.020930232480168343,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,74.0,53.0,21.0
45,45,53.0,0.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,9.5,0.022093024104833603,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.022093024104833603,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,62.0,53.0,9.0
46,46,58.0,0.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,9.5,0.022093024104833603,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.022093024104833603,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,62.0,53.0,9.0
47,47,62.0,0.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,9.5,0.022093024104833603,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.022093024104833603,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,62.0,53.0,9.0
48,48,53.0,1.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.023255813866853714,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.023255813866853714,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,62.0,53.0,9.0
49,49,58.0,1.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.023255813866853714,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.023255813866853714,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,62.0,53.0,9.0
50,50,62.0,1.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.023255813866853714,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.023255813866853714,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,62.0,53.0,9.0
51,51,53.0,1.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,10.5,0.024418605491518974,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.024418605491518974,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,62.0,53.0,9.0
52,52,58.0,1.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,10.5,0.024418605491518974,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.024418605491518974,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,62.0,53.0,9.0
53,53,62.0,1.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,10.5,0.024418605491518974,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.024418605491518974,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,62.0,53.0,9.0
54,54,53.0,2.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.025581395253539085,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.025581395253539085,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,62.0,53.0,9.0
55,55,58.0,2.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.025581395253539085,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.025581395253539085,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,62.0,53.0,9.0
56,56,62.0,2.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.025581395253539085,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.025581395253539085,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,62.0,53.0,9.0
57,57,53.0,2.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,11.5,0.026744186878204346,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.026744186878204346,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,62.0,53.0,9.0
58,58,58.0,2.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,11.5,0.026744186878204346,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.026744186878204346,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,62.0,53.0,9.0
