,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.fp,loudness_direction_basis.f,loudness_direction_basis.p,loudness_direction_basis.loudness_incr,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
16,16,74.0,3.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.006828527897596359,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.006828527897596359,1.5238095238095237,0.4761904761904763,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,74.0,67.0,7.0
17,17,77.0,0.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0075872535817325115,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.0075872535817325115,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0
18,18,60.0,0.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.00834597833454609,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.00834597833454609,0.2,1.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0
19,19,63.0,1.0,0.5,4,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.009104704484343529,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.009104704484343529,0.5428571428571429,1.4571428571428573,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,75.0,63.0,12.0
20,20,75.0,1.0,1.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.009104704484343529,0.5905511811023622,0.348750697501395,0.20595513631972145,0.009104704484343529,0.5428571428571429,1.4571428571428573,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,75.0,63.0,12.0
21,21,67.0,1.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.009863429702818394,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.009863429702818394,0.8857142857142858,1.1142857142857143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
22,22,63.0,2.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.010622154921293259,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.010622154921293259,1.2285714285714286,0.7714285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,0.0
23,23,60.0,2.5,0.5,4,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.011380880139768124,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.011380880139768124,1.5714285714285714,1.4285714285714286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,77.0,60.0,17.0
24,24,77.0,2.5,0.25,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.011380880139768124,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.011380880139768124,1.5714285714285714,1.4285714285714286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,77.0,60.0,17.0
25,25,79.0,2.75,0.25,4,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.011760243214666843,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.011760243214666843,0.8095238095238094,1.1904761904761907,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0
26,26,63.0,3.0,0.5,4,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.012139605358242989,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.012139605358242989,1.0476190476190474,0.9523809523809526,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,77.0,63.0,14.0
27,27,77.0,3.0,0.25,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.012139605358242989,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.012139605358242989,1.0476190476190474,0.9523809523809526,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,77.0,63.0,14.0
28,28,75.0,3.25,0.25,4,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,0.012518968433141708,0.5905511811023622,0.348750697501395,0.20595513631972145,0.012518968433141708,1.2857142857142856,0.7142857142857143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0
29,29,67.0,3.5,0.5,4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.012898330576717854,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.012898330576717854,1.5238095238095237,0.4761904761904763,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,74.0,67.0,7.0
30,30,74.0,3.5,0.25,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.012898330576717854,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.012898330576717854,1.5238095238095237,0.4761904761904763,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,74.0,67.0,7.0
31,31,72.0,3.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,0.013277693651616573,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.013277693651616573,1.7619047619047619,0.23809523809523825,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0
32,32,70.0,0.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.013657055795192719,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.013657055795192719,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0
33,33,53.0,0.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.014415781944990158,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.014415781944990158,0.2,1.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0
34,34,60.0,1.0,0.5,4,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.015174507163465023,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.015174507163465023,0.5428571428571429,1.4571428571428573,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,69.0,60.0,9.0
35,35,69.0,1.0,1.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.015174507163465023,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.015174507163465023,0.5428571428571429,1.4571428571428573,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,69.0,60.0,9.0
36,36,63.0,1.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.015933232381939888,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.015933232381939888,0.8857142857142858,1.1142857142857143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,0.0
37,37,60.0,2.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.01669195666909218,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.01669195666909218,1.2285714285714286,0.7714285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0
38,38,53.0,2.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.017450682818889618,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.017450682818889618,1.5714285714285714,1.4285714285714286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,69.0,53.0,16.0
39,39,69.0,2.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.017450682818889618,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.017450682818889618,1.5714285714285714,1.4285714285714286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,69.0,53.0,16.0
40,40,60.0,3.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.018209408968687057,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.018209408968687057,1.0476190476190474,0.9523809523809526,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,70.0,60.0,10.0
41,41,70.0,3.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.018209408968687057,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.018209408968687057,1.0476190476190474,0.9523809523809526,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,70.0,60.0,10.0
42,42,63.0,3.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.018968133255839348,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.018968133255839348,1.5238095238095237,0.4761904761904763,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,72.0,63.0,9.0
43,43,72.0,3.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.018968133255839348,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.018968133255839348,1.5238095238095237,0.4761904761904763,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,72.0,63.0,9.0
44,44,69.0,0.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.019726859405636787,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.019726859405636787,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,72.0,69.0,3.0
45,45,72.0,0.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.019726859405636787,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.019726859405636787,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,72.0,69.0,3.0
46,46,58.0,0.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.020485583692789078,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.020485583692789078,0.25,1.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0
47,47,62.0,1.0,0.5,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.021244309842586517,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.021244309842586517,0.6428571428571428,1.3571428571428572,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,74.0,62.0,12.0
48,48,70.0,1.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.021244309842586517,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.021244309842586517,0.6428571428571428,1.3571428571428572,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,74.0,62.0,12.0
49,49,74.0,1.0,1.0,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.021244309842586517,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.021244309842586517,0.6428571428571428,1.3571428571428572,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,74.0,62.0,12.0
50,50,65.0,1.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.022003034129738808,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.022003034129738808,1.0357142857142856,0.9642857142857143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0
51,51,62.0,2.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.022761760279536247,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.022761760279536247,1.4285714285714286,0.5714285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0
52,52,58.0,2.5,0.5,4,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.023520486429333687,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.023520486429333687,0.5714285714285714,1.4285714285714286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,77.0,58.0,19.0
53,53,77.0,2.5,0.25,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.023520486429333687,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.023520486429333687,0.5714285714285714,1.4285714285714286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,77.0,58.0,19.0
54,54,76.0,2.75,0.25,4,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.75,0.023899847641587257,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.023899847641587257,0.8095238095238094,1.1904761904761907,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,0.0
55,55,62.0,3.0,0.5,4,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.024279210716485977,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.024279210716485977,1.0476190476190474,0.9523809523809526,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,79.0,62.0,17.0
