,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.f,loudness_direction_basis.p,loudness_direction_basis.loudness_incr,loudness_direction_basis.pp,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
15,15,64.0,0.0,0.5,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.012944984249770641,0.5039370078740157,0.25395250790501583,0.127976066975756,0.012944984249770641,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,79.0,64.0,15.0
16,16,79.0,0.0,1.0,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.012944984249770641,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.012944984249770641,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,79.0,64.0,15.0
17,17,67.0,0.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.5,0.013754045590758324,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.013754045590758324,0.25,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
18,18,64.0,1.0,0.5,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.014563106931746006,0.5039370078740157,0.25395250790501583,0.127976066975756,0.014563106931746006,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,79.0,64.0,15.0
19,19,79.0,1.0,1.0,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.014563106931746006,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.014563106931746006,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,79.0,64.0,15.0
20,20,67.0,1.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.5,0.015372168272733688,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.015372168272733688,0.75,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
21,21,61.0,2.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.016181230545043945,0.48031496062992124,0.23070246140492282,0.11080984366693143,0.016181230545043945,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0
22,22,67.0,2.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.5,0.016990290954709053,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.016990290954709053,0.25,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
23,23,61.0,3.0,0.5,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.01779935322701931,0.48031496062992124,0.23070246140492282,0.11080984366693143,0.01779935322701931,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,81.0,61.0,20.0
24,24,81.0,3.0,1.0,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.01779935322701931,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.01779935322701931,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,81.0,61.0,20.0
25,25,67.0,3.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.5,0.018608413636684418,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.018608413636684418,0.75,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
26,26,62.0,0.0,0.5,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.019417475908994675,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.019417475908994675,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,79.0,62.0,17.0
27,27,77.0,0.0,1.0,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.019417475908994675,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.019417475908994675,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,79.0,62.0,17.0
28,28,79.0,0.0,0.0,4,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,12.0,0.019417475908994675,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.019417475908994675,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,79.0,62.0,17.0
29,29,67.0,0.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.5,0.020226536318659782,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.020226536318659782,0.25,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
30,30,62.0,1.0,0.5,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.02103559859097004,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.02103559859097004,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,77.0,62.0,15.0
31,31,77.0,1.0,1.0,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.02103559859097004,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.02103559859097004,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,77.0,62.0,15.0
32,32,67.0,1.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.5,0.021844660863280296,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.021844660863280296,0.75,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
33,33,59.0,2.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.022653721272945404,0.4645669291338583,0.21582243164486328,0.10026396430745617,0.022653721272945404,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0
34,34,67.0,2.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.5,0.02346278354525566,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.02346278354525566,0.25,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
35,35,59.0,3.0,0.5,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.02427184395492077,0.4645669291338583,0.21582243164486328,0.10026396430745617,0.02427184395492077,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,79.0,59.0,20.0
36,36,79.0,3.0,1.0,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.02427184395492077,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.02427184395492077,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,79.0,59.0,20.0
37,37,67.0,3.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.5,0.025080906227231026,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.025080906227231026,0.75,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
38,38,60.0,0.0,0.5,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.025889968499541283,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.025889968499541283,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,77.0,60.0,17.0
39,39,76.0,0.0,1.0,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.025889968499541283,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.025889968499541283,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,77.0,60.0,17.0
40,40,77.0,0.0,0.0,4,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,16.0,0.025889968499541283,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.025889968499541283,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,77.0,60.0,17.0
41,41,67.0,0.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.5,0.02669902890920639,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.02669902890920639,0.25,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
42,42,60.0,1.0,0.5,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.027508091181516647,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.027508091181516647,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,76.0,60.0,16.0
43,43,76.0,1.0,1.0,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.027508091181516647,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.027508091181516647,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,76.0,60.0,16.0
44,44,67.0,1.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.5,0.028317151591181755,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.028317151591181755,0.75,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
45,45,64.0,2.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.029126213863492012,0.5039370078740157,0.25395250790501583,0.127976066975756,0.029126213863492012,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0
46,46,67.0,2.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.5,0.02993527427315712,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.02993527427315712,0.25,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
47,47,64.0,3.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.030744336545467377,0.5039370078740157,0.25395250790501583,0.127976066975756,0.030744336545467377,0.5,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,79.0,64.0,15.0
48,48,79.0,3.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.030744336545467377,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.030744336545467377,0.5,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,79.0,64.0,15.0
49,49,67.0,3.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.5,0.031553398817777634,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.031553398817777634,1.25,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,76.0,67.0,9.0
50,50,76.0,3.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.5,0.031553398817777634,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.031553398817777634,1.25,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,76.0,67.0,9.0
51,51,65.0,0.0,4.0,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.03236246109008789,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.03236246109008789,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,73.0,65.0,8.0
52,52,69.0,0.0,4.0,4,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.03236246109008789,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.03236246109008789,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,73.0,65.0,8.0
53,53,73.0,0.0,0.5,4,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.03236246109008789,0.5748031496062992,0.3303986607973216,0.18991419085200376,0.03236246109008789,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,73.0,65.0,8.0
54,54,74.0,0.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.5,0.03317151963710785,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.03317151963710785,0.25,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0
55,55,77.0,1.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.033980581909418106,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.033980581909418106,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0
56,56,76.0,1.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.5,0.03478964418172836,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.03478964418172836,0.75,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,0.0
57,57,73.0,2.0,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.03559870645403862,0.5748031496062992,0.3303986607973216,0.18991419085200376,0.03559870645403862,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,0.0
58,58,74.0,2.5,0.5,4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.5,0.03640776872634888,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.03640776872634888,0.25,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0
