,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.p,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,tempo_direction_basis.andante,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
10,10,61.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.008241758681833744,0.48031496062992124,0.23070246140492282,0.11080984366693143,0.008241758681833744,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,64.0,55.0,9.0
11,11,64.0,0.0,2.0,3,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.008241758681833744,0.5039370078740157,0.25395250790501583,0.127976066975756,0.008241758681833744,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,64.0,55.0,9.0
12,12,60.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.010989011265337467,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.010989011265337467,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0
13,13,58.0,2.0,2.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.01373626384884119,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.01373626384884119,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,72.0,58.0,14.0
14,14,72.0,2.0,1.0,3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.01373626384884119,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.01373626384884119,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,72.0,58.0,14.0
15,15,53.0,0.0,2.5,3,0.0,1.5,0.0,0.0,0.0,0.0,1.0,6.0,0.016483517363667488,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.016483517363667488,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,74.0,53.0,21.0
16,16,71.0,0.0,0.0,3,1.0,2.5,0.0,1.0,3.0,1.0,1.0,6.0,0.016483517363667488,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.016483517363667488,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,74.0,53.0,21.0
17,17,72.0,0.0,0.0,3,1.0,0.0,0.0,1.0,3.0,1.0,1.0,6.0,0.016483517363667488,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.016483517363667488,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,74.0,53.0,21.0
18,18,72.0,0.0,1.5,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.016483517363667488,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.016483517363667488,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,74.0,53.0,21.0
19,19,74.0,0.0,0.0,3,1.0,0.0,0.0,1.0,3.0,1.0,1.0,6.0,0.016483517363667488,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.016483517363667488,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,74.0,53.0,21.0
20,20,57.0,1.0,1.5,3,0.0,1.5,0.0,0.0,0.0,0.0,1.0,7.0,0.01923076994717121,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.01923076994717121,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0
21,21,70.0,1.5,0.25,3,1.0,0.25,0.0,0.0,0.0,0.0,1.0,7.5,0.020604396238923073,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.020604396238923073,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0
22,22,69.0,1.75,0.25,3,1.0,0.25,0.0,0.0,0.0,0.0,1.0,7.75,0.021291209384799004,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.021291209384799004,0.5833333333333333,0.41666666666666674,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,0.0
23,23,67.0,2.0,0.25,3,1.0,0.25,0.0,0.0,0.0,0.0,1.0,8.0,0.021978022530674934,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.021978022530674934,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
24,24,65.0,2.25,0.25,3,1.0,0.25,0.0,0.0,0.0,0.0,1.0,8.25,0.022664835676550865,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.022664835676550865,0.75,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0
25,25,55.0,2.5,0.5,3,1.0,0.25,0.0,0.0,0.0,0.0,1.0,8.5,0.023351648822426796,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.023351648822426796,0.8333333333333333,0.16666666666666674,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,63.0,55.0,8.0
26,26,58.0,2.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,8.5,0.023351648822426796,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.023351648822426796,0.8333333333333333,0.16666666666666674,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,63.0,55.0,8.0
27,27,63.0,2.5,0.25,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,8.5,0.023351648822426796,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.023351648822426796,0.8333333333333333,0.16666666666666674,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,63.0,55.0,8.0
28,28,67.0,2.75,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,1.0,8.75,0.024038461968302727,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.024038461968302727,0.9166666666666666,0.08333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
29,29,57.0,0.0,1.0,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,9.0,0.024725275114178658,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.024725275114178658,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,65.0,57.0,8.0
30,30,60.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.024725275114178658,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.024725275114178658,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,65.0,57.0,8.0
31,31,65.0,0.0,0.5,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.024725275114178658,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.024725275114178658,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,65.0,57.0,8.0
32,32,63.0,0.5,0.5,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,9.5,0.02609890140593052,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.02609890140593052,0.25,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,0.0
33,33,58.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.02747252769768238,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.02747252769768238,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,62.0,58.0,4.0
34,34,62.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.02747252769768238,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.02747252769768238,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,62.0,58.0,4.0
35,35,65.0,2.0,1.5,3,0.0,1.5,0.0,0.0,0.0,0.0,1.0,11.0,0.030219780281186104,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.030219780281186104,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,74.0,65.0,9.0
36,36,74.0,2.0,1.5,3,0.0,1.5,0.0,0.0,0.0,0.0,1.0,11.0,0.030219780281186104,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.030219780281186104,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,74.0,65.0,9.0
37,37,36.0,0.0,3.0,3,0.0,3.0,0.0,0.0,0.0,0.0,1.0,12.0,0.032967034727334976,0.28346456692913385,0.08035216070432141,0.022776990435870635,0.032967034727334976,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,48.0,36.0,12.0
38,38,48.0,0.0,3.0,3,0.0,3.0,0.0,0.0,0.0,0.0,1.0,12.0,0.032967034727334976,0.3779527559055118,0.1428482856965714,0.05398990325539706,0.032967034727334976,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,48.0,36.0,12.0
39,39,62.0,0.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,12.5,0.03434066101908684,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.03434066101908684,0.16666666666666666,0.8333333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,71.0,62.0,9.0
40,40,71.0,0.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,12.5,0.03434066101908684,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.03434066101908684,0.16666666666666666,0.8333333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,71.0,62.0,9.0
41,41,63.0,1.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,13.0,0.0357142873108387,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.0357142873108387,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,72.0,63.0,9.0
42,42,72.0,1.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,13.0,0.0357142873108387,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.0357142873108387,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,72.0,63.0,9.0
43,43,65.0,1.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,13.5,0.03708791360259056,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.03708791360259056,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,74.0,65.0,9.0
44,44,74.0,1.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,13.5,0.03708791360259056,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.03708791360259056,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,74.0,65.0,9.0
45,45,67.0,2.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,14.0,0.03846153989434242,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.03846153989434242,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,75.0,67.0,8.0
46,46,75.0,2.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,14.0,0.03846153989434242,0.5905511811023622,0.348750697501395,0.20595513631972145,0.03846153989434242,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,75.0,67.0,8.0
47,47,72.0,2.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,14.5,0.039835166186094284,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.039835166186094284,0.8333333333333333,0.16666666666666674,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0
48,48,60.0,0.0,1.0,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,15.0,0.041208792477846146,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.041208792477846146,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,70.0,60.0,10.0
49,49,63.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,0.041208792477846146,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.041208792477846146,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,70.0,60.0,10.0
50,50,70.0,0.0,0.5,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,0.041208792477846146,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.041208792477846146,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,70.0,60.0,10.0
51,51,69.0,0.5,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,15.5,0.04258241876959801,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.04258241876959801,0.25,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,0.0
52,52,62.0,1.0,1.0,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,16.0,0.04395604506134987,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.04395604506134987,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,72.0,62.0,10.0
53,53,65.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,0.04395604506134987,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.04395604506134987,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,72.0,62.0,10.0
54,54,72.0,1.0,0.5,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,0.04395604506134987,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.04395604506134987,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,72.0,62.0,10.0
55,55,70.0,1.5,0.5,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,16.5,0.04532967135310173,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.04532967135310173,0.75,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0
56,56,74.0,2.0,1.5,3,0.0,1.5,0.0,0.0,0.0,0.0,1.0,17.0,0.04670329764485359,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.04670329764485359,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,77.0,74.0,3.0
57,57,77.0,2.0,1.5,3,0.0,1.5,0.0,0.0,0.0,0.0,1.0,17.0,0.04670329764485359,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.04670329764485359,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,77.0,74.0,3.0
58,58,39.0,0.0,3.0,3,0.0,3.0,0.0,0.0,0.0,0.0,1.0,18.0,0.049450550228357315,0.30708661417322836,0.09430218860437721,0.028958939807643396,0.049450550228357315,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,51.0,39.0,12.0
59,59,51.0,0.0,3.0,3,0.0,3.0,0.0,0.0,0.0,0.0,1.0,18.0,0.049450550228357315,0.4015748031496063,0.16126232252464506,0.06475888542328266,0.049450550228357315,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,51.0,39.0,12.0
