,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.f,loudness_direction_basis.p,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,tempo_direction_basis.presto,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
10,10,55.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.004848484881222248,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.004848484881222248,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0
11,11,55.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0060606058686971664,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.0060606058686971664,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,74.0,55.0,19.0
12,12,71.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0060606058686971664,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.0060606058686971664,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,74.0,55.0,19.0
13,13,74.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0060606058686971664,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.0060606058686971664,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,74.0,55.0,19.0
14,14,55.0,0.0,1.0,3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.007272727321833372,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.007272727321833372,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,79.0,55.0,24.0
15,15,76.0,0.0,2.0,3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.007272727321833372,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.007272727321833372,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,79.0,55.0,24.0
16,16,79.0,0.0,2.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.007272727321833372,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.007272727321833372,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,79.0,55.0,24.0
17,17,55.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.008484848774969578,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.008484848774969578,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0
18,18,55.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.009696969762444496,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.009696969762444496,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,78.0,55.0,23.0
19,19,74.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.009696969762444496,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.009696969762444496,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,78.0,55.0,23.0
20,20,78.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.009696969762444496,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.009696969762444496,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,78.0,55.0,23.0
21,21,55.0,0.0,1.0,3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.010909090749919415,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.010909090749919415,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,78.0,55.0,23.0
22,22,72.0,0.0,2.0,3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.010909090749919415,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.010909090749919415,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,78.0,55.0,23.0
23,23,76.0,0.0,2.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.010909090749919415,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.010909090749919415,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,78.0,55.0,23.0
24,24,78.0,0.0,0.0,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0,0.010909090749919415,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.010909090749919415,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,78.0,55.0,23.0
25,25,55.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.012121211737394333,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.012121211737394333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0
26,26,55.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.013333333656191826,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.013333333656191826,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,74.0,55.0,19.0
27,27,71.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.013333333656191826,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.013333333656191826,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,74.0,55.0,19.0
28,28,74.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.013333333656191826,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.013333333656191826,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,74.0,55.0,19.0
29,29,43.0,0.0,1.0,3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.014545454643666744,0.33858267716535434,0.11463822927645856,0.03881451857391904,0.014545454643666744,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,71.0,43.0,28.0
30,30,67.0,0.0,2.0,3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.014545454643666744,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.014545454643666744,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,71.0,43.0,28.0
31,31,71.0,0.0,2.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.014545454643666744,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.014545454643666744,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,71.0,43.0,28.0
32,32,55.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.015757575631141663,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.015757575631141663,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0
33,33,55.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.016969697549939156,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.016969697549939156,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,72.0,55.0,17.0
34,34,69.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.016969697549939156,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.016969697549939156,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,72.0,55.0,17.0
35,35,72.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.016969697549939156,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.016969697549939156,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,72.0,55.0,17.0
36,36,55.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0181818176060915,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.0181818176060915,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,74.0,55.0,19.0
37,37,71.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0181818176060915,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.0181818176060915,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,74.0,55.0,19.0
38,38,74.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0181818176060915,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.0181818176060915,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,74.0,55.0,19.0
39,39,55.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.019393939524888992,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.019393939524888992,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0
40,40,55.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.020606061443686485,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.020606061443686485,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,74.0,55.0,19.0
41,41,71.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.020606061443686485,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.020606061443686485,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,74.0,55.0,19.0
42,42,74.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.020606061443686485,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.020606061443686485,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,74.0,55.0,19.0
43,43,55.0,0.0,1.0,3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.02181818149983883,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.02181818149983883,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,76.0,55.0,21.0
44,44,72.0,0.0,2.0,3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.02181818149983883,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.02181818149983883,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,76.0,55.0,21.0
45,45,76.0,0.0,2.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.02181818149983883,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.02181818149983883,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,76.0,55.0,21.0
46,46,55.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.023030303418636322,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.023030303418636322,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0
47,47,55.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.024242423474788666,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.024242423474788666,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,74.0,55.0,19.0
48,48,71.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.024242423474788666,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.024242423474788666,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,74.0,55.0,19.0
49,49,74.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.024242423474788666,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.024242423474788666,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,74.0,55.0,19.0
50,50,55.0,0.0,1.0,3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.02545454539358616,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.02545454539358616,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,74.0,55.0,19.0
51,51,69.0,0.0,2.0,3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.02545454539358616,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.02545454539358616,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,74.0,55.0,19.0
52,52,72.0,0.0,2.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.02545454539358616,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.02545454539358616,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,74.0,55.0,19.0
53,53,74.0,0.0,0.0,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,21.0,0.02545454539358616,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.02545454539358616,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,74.0,55.0,19.0
54,54,55.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.02666666731238365,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.02666666731238365,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0
55,55,55.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.027878787368535995,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.027878787368535995,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,71.0,55.0,16.0
56,56,67.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.027878787368535995,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.027878787368535995,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,71.0,55.0,16.0
57,57,71.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.027878787368535995,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.027878787368535995,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,71.0,55.0,16.0
58,58,35.0,0.0,3.0,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,24.0,0.02909090928733349,0.2755905511811024,0.0759501519003038,0.020931144224493173,0.02909090928733349,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,62.0,35.0,27.0
