,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.f,loudness_direction_basis.p,loudness_direction_basis.fp,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,tempo_direction_basis.andante,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
18,18,82,0.0,1.0,3,0.0,0.33333333333333304,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.014689265750348568,0.6456692913385826,0.41688883377766756,0.2691723178721948,0.014689265750348568,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,82.0,52.0,30.0
19,19,55,0.33333325386047363,0.33333334,3,0.0,0.3333333333333335,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3333332538604736,0.016195856034755707,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.016195856034755707,0.5,1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0
20,20,60,0.6666667461395264,0.33333334,3,0.0,0.3333333333333335,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.6666667461395264,0.01770244911313057,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.01770244911313057,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0
21,21,48,1.0,0.33333334,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.019209040328860283,0.3779527559055118,0.1428482856965714,0.05398990325539706,0.019209040328860283,1.5,1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,70.0,48.0,22.0
22,22,70,1.0,1.0,3,0.0,0.33333333333333304,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.019209040328860283,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.019209040328860283,1.5,1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,70.0,48.0,22.0
23,23,52,1.3333334922790527,0.33333334,3,0.0,0.33333333333333304,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.333333492279053,0.020715631544589996,0.4094488188976378,0.1676483352966706,0.06864341287737694,0.020715631544589996,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,0.0
24,24,55,1.6666665077209473,0.33333334,3,0.0,0.3333333333333339,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.666666507720947,0.02222222089767456,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.02222222089767456,1.5,0.5000000000000001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0
25,25,53,2.0,0.33333334,3,0.0,0.33333333333333304,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.023728813976049423,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.023728813976049423,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0
26,26,57,2.3333334922790527,0.33333334,3,0.0,0.33333333333333304,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.333333492279053,0.025235405191779137,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.025235405191779137,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0
27,27,69,2.5,0.5,3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.5,0.02598869986832142,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.02598869986832142,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,0.0
28,28,60,2.6666665077209473,0.33333334,3,0.0,0.3333333333333339,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.666666507720947,0.02674199640750885,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.02674199640750885,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0
29,29,46,0.0,0.33333334,3,0.0,0.33333333333333304,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.028248587623238564,0.36220472440944884,0.13119226238452478,0.04751845724163889,0.028248587623238564,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,67.0,46.0,21.0
30,30,67,0.0,0.33333334,3,0.0,0.33333333333333304,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.028248587623238564,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.028248587623238564,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,67.0,46.0,21.0
31,31,50,0.33333349227905273,0.33333334,3,0.0,0.33333333333333304,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.333333492279053,0.029755178838968277,0.3937007874015748,0.15500031000062,0.06102374409473228,0.029755178838968277,0.6666666666666666,1.3333333333333335,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,70.0,50.0,20.0
32,32,70,0.33333349227905273,0.33333334,3,0.0,0.33333333333333304,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.333333492279053,0.029755178838968277,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.029755178838968277,0.6666666666666666,1.3333333333333335,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,70.0,50.0,20.0
33,33,55,0.6666665077209473,0.33333334,3,0.0,0.3333333333333339,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.666666507720947,0.03126176819205284,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.03126176819205284,1.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,67.0,55.0,12.0
34,34,67,0.6666665077209473,0.33333334,3,0.0,0.3333333333333339,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.666666507720947,0.03126176819205284,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.03126176819205284,1.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,67.0,55.0,12.0
35,35,48,1.0,0.33333334,3,0.0,0.33333333333333304,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.032768361270427704,0.3779527559055118,0.1428482856965714,0.05398990325539706,0.032768361270427704,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,65.0,48.0,17.0
36,36,65,1.0,0.33333334,3,0.0,0.33333333333333304,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.032768361270427704,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.032768361270427704,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,65.0,48.0,17.0
37,37,53,1.3333334922790527,0.33333334,3,0.0,0.33333333333333304,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.333333492279053,0.034274954348802567,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.034274954348802567,0.6666666666666666,1.3333333333333335,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,69.0,53.0,16.0
38,38,69,1.3333334922790527,0.33333334,3,0.0,0.33333333333333304,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.333333492279053,0.034274954348802567,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.034274954348802567,0.6666666666666666,1.3333333333333335,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,69.0,53.0,16.0
39,39,57,1.6666665077209473,0.33333334,3,0.0,0.3333333333333339,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.666666507720947,0.03578154370188713,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.03578154370188713,1.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,65.0,57.0,8.0
40,40,65,1.6666665077209473,0.33333334,3,0.0,0.3333333333333339,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.666666507720947,0.03578154370188713,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.03578154370188713,1.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,65.0,57.0,8.0
41,41,48,2.0,0.33333334,3,0.0,0.33333333333333215,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.03728813678026199,0.3779527559055118,0.1428482856965714,0.05398990325539706,0.03728813678026199,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,64.0,48.0,16.0
42,42,64,2.0,0.33333334,3,0.0,0.33333333333333215,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.03728813678026199,0.5039370078740157,0.25395250790501583,0.127976066975756,0.03728813678026199,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,64.0,48.0,16.0
43,43,55,2.3333330154418945,0.33333334,3,0.0,0.3333333333333339,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.333333015441895,0.03879472613334656,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.03879472613334656,0.6666666666666666,1.3333333333333335,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,67.0,55.0,12.0
44,44,67,2.3333330154418945,0.33333334,3,0.0,0.3333333333333339,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.333333015441895,0.03879472613334656,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.03879472613334656,0.6666666666666666,1.3333333333333335,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,67.0,55.0,12.0
45,45,58,2.6666669845581055,0.33333334,3,0.0,0.3333333333333339,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.666666984558105,0.04030131921172142,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.04030131921172142,1.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,64.0,58.0,6.0
46,46,64,2.6666669845581055,0.33333334,3,0.0,0.3333333333333339,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.666666984558105,0.04030131921172142,0.5039370078740157,0.25395250790501583,0.127976066975756,0.04030131921172142,1.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,64.0,58.0,6.0
47,47,50,0.0,0.33333334,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.041807908564805984,0.3937007874015748,0.15500031000062,0.06102374409473228,0.041807908564805984,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,82.0,50.0,32.0
48,48,82,0.0,1.0,3,0.0,0.33333333333333215,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.041807908564805984,0.6456692913385826,0.41688883377766756,0.2691723178721948,0.041807908564805984,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,82.0,50.0,32.0
49,49,53,0.33333301544189453,0.33333334,3,0.0,0.3333333333333339,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.333333015441895,0.04331449791789055,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.04331449791789055,0.5,1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0
50,50,58,0.6666669845581055,0.33333334,3,0.0,0.3333333333333339,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.666666984558105,0.04482109472155571,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.04482109472155571,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0
51,51,52,1.0,0.33333334,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.046327684074640274,0.4094488188976378,0.1676483352966706,0.06864341287737694,0.046327684074640274,1.5,1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,70.0,52.0,18.0
52,52,70,1.0,1.0,3,0.0,0.33333333333333215,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.046327684074640274,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.046327684074640274,1.5,1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,70.0,52.0,18.0
53,53,55,1.3333330154418945,0.33333334,3,0.0,0.3333333333333339,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.333333015441895,0.04783427342772484,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.04783427342772484,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0
54,54,60,1.6666669845581055,0.33333334,3,0.0,0.3333333333333339,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.666666984558105,0.0493408665060997,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.0493408665060997,1.5,0.5000000000000001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0
55,55,53,2.0,0.33333334,3,0.0,0.33333333333333215,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.050847455859184265,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.050847455859184265,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,0.0
