,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.p,loudness_direction_basis.f,loudness_direction_basis.loudness_incr,loudness_direction_basis.fp,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,tempo_direction_basis.allegro,tempo_direction_basis.agitato,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
10,10,62.0,0.0,3.0,3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.007329843007028103,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.007329843007028103,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,62.0,59.0,3.0
11,11,79.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.008376963436603546,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.008376963436603546,0.3333333333333333,0.6666666666666667,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0
12,12,77.0,2.0,2.0,3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.00942408386617899,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.00942408386617899,0.6666666666666666,0.33333333333333337,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0
13,13,60.0,0.0,3.0,3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.010471204295754433,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.010471204295754433,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,67.0,60.0,7.0
14,14,67.0,0.0,3.0,3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.010471204295754433,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.010471204295754433,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,67.0,60.0,7.0
15,15,75.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.011518324725329876,0.5905511811023622,0.348750697501395,0.20595513631972145,0.011518324725329876,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0
16,16,79.0,2.0,2.0,3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.01256544515490532,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.01256544515490532,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0
17,17,63.0,0.0,2.0,3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.013612565584480762,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.013612565584480762,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,67.0,63.0,4.0
18,18,67.0,0.0,3.0,3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.013612565584480762,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.013612565584480762,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,67.0,63.0,4.0
19,19,84.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.014659686014056206,0.6614173228346457,0.4374728749457499,0.2893521377593936,0.014659686014056206,0.3333333333333333,0.6666666666666667,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,0.0
20,20,64.0,2.0,1.0,3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.015706805512309074,0.5039370078740157,0.25395250790501583,0.127976066975756,0.015706805512309074,0.6666666666666666,0.33333333333333337,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,82.0,64.0,18.0
21,21,82.0,2.0,2.0,3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.015706805512309074,0.6456692913385826,0.41688883377766756,0.2691723178721948,0.015706805512309074,0.6666666666666666,0.33333333333333337,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,82.0,64.0,18.0
22,22,65.0,0.0,2.0,3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.016753926873207092,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.016753926873207092,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,68.0,65.0,3.0
23,23,68.0,0.0,2.0,3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.016753926873207092,0.5354330708661418,0.28668857337714676,0.1535025432255589,0.016753926873207092,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,68.0,65.0,3.0
24,24,80.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.01780104637145996,0.6299212598425197,0.3968007936015872,0.24995325581202343,0.01780104637145996,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0
25,25,67.0,2.0,1.0,3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,0.01884816773235798,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.01884816773235798,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,79.0,67.0,12.0
26,26,70.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,0.01884816773235798,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.01884816773235798,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,79.0,67.0,12.0
27,27,79.0,2.0,2.0,3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,0.01884816773235798,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.01884816773235798,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,79.0,67.0,12.0
28,28,68.0,0.0,2.0,3,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,0.019895287230610847,0.5354330708661418,0.28668857337714676,0.1535025432255589,0.019895287230610847,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,72.0,68.0,4.0
29,29,72.0,0.0,4.0,3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,0.019895287230610847,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.019895287230610847,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,72.0,68.0,4.0
30,30,77.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,0.020942408591508865,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.020942408591508865,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0
31,31,69.0,2.0,1.0,3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.021989528089761734,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.021989528089761734,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,78.0,69.0,9.0
32,32,78.0,2.0,2.0,3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.021989528089761734,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.021989528089761734,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,78.0,69.0,9.0
33,33,67.0,0.0,2.0,3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,0.023036649450659752,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.023036649450659752,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
34,34,71.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.02408376894891262,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.02408376894891262,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,79.0,71.0,8.0
35,35,79.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.02408376894891262,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.02408376894891262,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,79.0,71.0,8.0
36,36,67.0,2.0,2.0,3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,0.02513089030981064,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.02513089030981064,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
37,37,48.0,0.0,3.0,3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,0.026178009808063507,0.3779527559055118,0.1428482856965714,0.05398990325539706,0.026178009808063507,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,51.0,48.0,3.0
38,38,51.0,0.0,3.0,3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,0.026178009808063507,0.4015748031496063,0.16126232252464506,0.06475888542328266,0.026178009808063507,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,51.0,48.0,3.0
39,39,63.0,1.0,1.0,3,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,0.027225131168961525,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.027225131168961525,0.3333333333333333,0.6666666666666667,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,0.0
40,40,60.0,2.0,2.0,3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,0.028272250667214394,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.028272250667214394,0.6666666666666666,0.33333333333333337,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0
41,41,50.0,0.0,3.0,3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,0.02931937202811241,0.3937007874015748,0.15500031000062,0.06102374409473228,0.02931937202811241,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,53.0,50.0,3.0
42,42,53.0,0.0,3.0,3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,0.02931937202811241,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.02931937202811241,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,53.0,50.0,3.0
43,43,59.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,28.0,0.03036649152636528,0.4645669291338583,0.21582243164486328,0.10026396430745617,0.03036649152636528,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0
44,44,68.0,2.0,2.0,3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,0.03141361102461815,0.5354330708661418,0.28668857337714676,0.1535025432255589,0.03141361102461815,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0
45,45,47.0,0.0,3.0,3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,0.032460734248161316,0.3700787401574803,0.13695827391654783,0.05068534546517912,0.032460734248161316,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,50.0,47.0,3.0
46,46,50.0,0.0,3.0,3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,0.032460734248161316,0.3937007874015748,0.15500031000062,0.06102374409473228,0.032460734248161316,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,50.0,47.0,3.0
47,47,67.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,0.033507853746414185,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.033507853746414185,0.3333333333333333,0.6666666666666667,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0
48,48,65.0,2.0,2.0,3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,32.0,0.03455497324466705,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.03455497324466705,0.6666666666666666,0.33333333333333337,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0
49,49,46.0,0.0,3.0,3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,33.0,0.03560209274291992,0.36220472440944884,0.13119226238452478,0.04751845724163889,0.03560209274291992,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,49.0,46.0,3.0
50,50,49.0,0.0,3.0,3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,33.0,0.03560209274291992,0.3858267716535433,0.14886229772459544,0.05743505975200927,0.03560209274291992,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,49.0,46.0,3.0
51,51,64.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,34.0,0.03664921596646309,0.5039370078740157,0.25395250790501583,0.127976066975756,0.03664921596646309,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0
52,52,73.0,2.0,2.0,3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,0.03769633546471596,0.5748031496062992,0.3303986607973216,0.18991419085200376,0.03769633546471596,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,0.0
53,53,52.0,0.0,3.0,3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,0.038743454962968826,0.4094488188976378,0.1676483352966706,0.06864341287737694,0.038743454962968826,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,55.0,52.0,3.0
54,54,55.0,0.0,2.0,3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,0.038743454962968826,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.038743454962968826,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,55.0,52.0,3.0
55,55,72.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,0.039790574461221695,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.039790574461221695,0.6666666666666666,1.3333333333333335,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0
